"DRD350E.Code.or.Value","DRD350E.Value.Description","DRD350E.Count","DRD350E.Cumulative","DRD350E.Skip.to.Item"
"1","Yes",246,246,""
"2","No",3634,3880,"DRD350F"
".","Missing",5458,9338,""
