"LBCPDT.Code.or.Value","LBCPDT.Value.Description","LBCPDT.Count","LBCPDT.Cumulative","LBCPDT.Skip.to.Item"
"3.465 to 4437","Range of Values",301,301,NA
".","Missing",0,301,NA
