"DXXLSA.Code.or.Value","DXXLSA.Value.Description","DXXLSA.Count","DXXLSA.Cumulative","DXXLSA.Skip.to.Item"
"10.81 to 109.7","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
