"DRD320GW.Code.or.Value","DRD320GW.Value.Description","DRD320GW.Count","DRD320GW.Cumulative","DRD320GW.Skip.to.Item"
"0 to 16726.5","Range of Values",8735,8735,NA
".","Missing",547,9282,NA
