"MCQ160H.Code.or.Value","MCQ160H.Value.Description","MCQ160H.Count","MCQ160H.Cumulative","MCQ160H.Skip.to.Item"
"1","Yes",61,61,"MCQ170H"
"2","No",4812,4873,""
"7","Refused",0,4873,""
"9","Don't know",7,4880,""
".","Missing",4613,9493,""
