"OSQ040bg.Code.or.Value","OSQ040bg.Value.Description","OSQ040bg.Count","OSQ040bg.Cumulative","OSQ040bg.Skip.to.Item"
"1","Under 50 years old, or",2,2,"OSQ025"
"2","50 years old or older?",0,2,""
"7","Refused",0,2,"OSQ025"
"9","Don't know",0,2,"OSQ025"
".","Missing",5933,5935,""
