"ALQ151.Code.or.Value","ALQ151.Value.Description","ALQ151.Count","ALQ151.Cumulative","ALQ151.Skip.to.Item"
"1","Yes",736,736,NA
"2","No",3740,4476,NA
"7","Refused",0,4476,NA
"9","Don't know",1,4477,NA
".","Missing",1447,5924,NA
