"HOQ040.Code.or.Value","HOQ040.Value.Description","HOQ040.Count","HOQ040.Cumulative","HOQ040.Skip.to.Item"
"1","1990 to present",2163,2163,NA
"2","1978 to 1989",1158,3321,NA
"3","1960 to 1977",1707,5028,NA
"4","1950 to 1959",852,5880,NA
"5","1940 to 1949",520,6400,NA
"6","Before 1940",1460,7860,NA
"77","Refused",27,7887,NA
"99","Don't know",2582,10469,NA
".","Missing",68,10537,NA
