"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 629.4","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
