"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.02 to 19.34","Range of Values",2405,2405,NA
".","Missing",574,2979,NA
