"BAQ020C.Code.or.Value","BAQ020C.Value.Description","BAQ020C.Count","BAQ020C.Cumulative","BAQ020C.Skip.to.Item"
"1","Yes",271,271,NA
"2","No",641,912,NA
"7","Refused",0,912,NA
"9","Don't know",0,912,NA
".","Missing",2387,3299,NA
