"MPQ120ad.Code.or.Value","MPQ120ad.Value.Description","MPQ120ad.Count","MPQ120ad.Cumulative","MPQ120ad.Skip.to.Item"
"39","Hand - left",99,99,NA
".","Missing",4781,4880,NA
