"LBXPFBS.Code.or.Value","LBXPFBS.Value.Description","LBXPFBS.Count","LBXPFBS.Cumulative","LBXPFBS.Skip.to.Item"
"0.07 to 1.4","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
