"WBXF054.Code.or.Value","WBXF054.Value.Description","WBXF054.Count","WBXF054.Cumulative","WBXF054.Skip.to.Item"
"1731.0731 to 1731.0731","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
