"LBC149LA.Code.or.Value","LBC149LA.Value.Description","LBC149LA.Count","LBC149LA.Cumulative","LBC149LA.Skip.to.Item"
"0.09 to 0.7","Range of Values",247,247,NA
".","Missing",0,247,NA
