"LBC180LA.Code.or.Value","LBC180LA.Value.Description","LBC180LA.Count","LBC180LA.Cumulative","LBC180LA.Skip.to.Item"
"0.4658 to 120","Range of Values",265,265,NA
".","Missing",0,265,NA
