"LBXETA.Code.or.Value","LBXETA.Value.Description","LBXETA.Count","LBXETA.Cumulative","LBXETA.Skip.to.Item"
"1","Positive",70,70,NA
"2","Negative",302,372,NA
".","Missing",9557,9929,NA
