"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 4.19","Range of Values",3153,3153,NA
".","Missing",392,3545,NA
