"RFXT129.Code.or.Value","RFXT129.Value.Description","RFXT129.Count","RFXT129.Cumulative","RFXT129.Skip.to.Item"
"1123 to 1132","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
