"URDPHELC.Code.or.Value","URDPHELC.Value.Description","URDPHELC.Count","URDPHELC.Cumulative","URDPHELC.Skip.to.Item"
"0","At or above the detection limit",1081,1081,NA
"1","Below lower detection limit",1360,2441,NA
".","Missing",164,2605,NA
