"LBXFOL.Code.or.Value","LBXFOL.Value.Description","LBXFOL.Count","LBXFOL.Cumulative","LBXFOL.Skip.to.Item"
"1 to 220","Range of Values",7526,7526,NA
".","Missing",1306,8832,NA
