"SMD100MN.Code.or.Value","SMD100MN.Value.Description","SMD100MN.Count","SMD100MN.Cumulative","SMD100MN.Skip.to.Item"
"0","Non-menthol",667,667,NA
"1","Menthol",253,920,NA
".","Missing",3960,4880,NA
