"DR1TPHOS.Code.or.Value","DR1TPHOS.Value.Description","DR1TPHOS.Count","DR1TPHOS.Cumulative","DR1TPHOS.Skip.to.Item"
"0 to 11529","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
