"MCQ260BD.Code.or.Value","MCQ260BD.Value.Description","MCQ260BD.Count","MCQ260BD.Cumulative","MCQ260BD.Skip.to.Item"
"4","Mother's father",60,60,"MCQ250C"
".","Missing",10410,10470,""
