"DR2IS120.Code.or.Value","DR2IS120.Value.Description","DR2IS120.Count","DR2IS120.Cumulative","DR2IS120.Skip.to.Item"
"0 to 32.076","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
