"SSMUMPS.Code.or.Value","SSMUMPS.Value.Description","SSMUMPS.Count","SSMUMPS.Cumulative","SSMUMPS.Skip.to.Item"
"1","Positive",4764,4764,NA
"2","Negative",294,5058,NA
"3","Indeterminate",145,5203,NA
"9","Quantity not sufficient",0,5203,NA
".","Missing",7,5210,NA
