"RFXT138.Code.or.Value","RFXT138.Value.Description","RFXT138.Count","RFXT138.Cumulative","RFXT138.Skip.to.Item"
"1203 to 1212","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
