"BIXC050K.Code.or.Value","BIXC050K.Value.Description","BIXC050K.Count","BIXC050K.Cumulative","BIXC050K.Skip.to.Item"
"31.87 to 186.28","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
