"PHQ020.Code.or.Value","PHQ020.Value.Description","PHQ020.Count","PHQ020.Cumulative","PHQ020.Skip.to.Item"
"1","Yes",44,44,NA
"2","No",8306,8350,NA
".","Missing",482,8832,NA
