"URDTIME3.Code.or.Value","URDTIME3.Value.Description","URDTIME3.Count","URDTIME3.Cumulative","URDTIME3.Skip.to.Item"
"7 to 174","Range of Values",64,64,NA
".","Missing",7757,7821,NA
