"DXXPT35Y.Code.or.Value","DXXPT35Y.Value.Description","DXXPT35Y.Count","DXXPT35Y.Cumulative","DXXPT35Y.Skip.to.Item"
"133 to 356.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
