"DR2ISODI.Code.or.Value","DR2ISODI.Value.Description","DR2ISODI.Count","DR2ISODI.Cumulative","DR2ISODI.Skip.to.Item"
"0 to 10965","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
