"PHDSESN.Code.or.Value","PHDSESN.Value.Description","PHDSESN.Count","PHDSESN.Cumulative","PHDSESN.Skip.to.Item"
"0","morning",4311,4311,NA
"1","afternoon",3356,7667,NA
"2","evening",1640,9307,NA
".","Missing",0,9307,NA
