"LBC187LA.Code.or.Value","LBC187LA.Value.Description","LBC187LA.Count","LBC187LA.Cumulative","LBC187LA.Skip.to.Item"
"0.1131 to 34.19","Range of Values",251,251,NA
".","Missing",0,251,NA
