"DBQ400.Code.or.Value","DBQ400.Value.Description","DBQ400.Count","DBQ400.Cumulative","DBQ400.Skip.to.Item"
"1","Yes",2463,2463,""
"2","No",470,2933,"DBQ422"
"7","Refused",0,2933,"DBQ422"
"9","Don't know",76,3009,"DBQ422"
".","Missing",7113,10122,""
