"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"0 to 13687","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
