"DRXIM161.Code.or.Value","DRXIM161.Value.Description","DRXIM161.Count","DRXIM161.Cumulative","DRXIM161.Skip.to.Item"
"0 to 22.2","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
