"TYXA192.Code.or.Value","TYXA192.Value.Description","TYXA192.Count","TYXA192.Cumulative","TYXA192.Skip.to.Item"
"0.158 to 5.452","Range of Values",539,539,NA
".","Missing",5046,5585,NA
