"DX2TRLI.Code.or.Value","DX2TRLI.Value.Description","DX2TRLI.Count","DX2TRLI.Cumulative","DX2TRLI.Skip.to.Item"
"14123.6 to 41264.3","Range of Values",443,443,NA
".","Missing",42,485,NA
