"MPQ120af.Code.or.Value","MPQ120af.Value.Description","MPQ120af.Count","MPQ120af.Cumulative","MPQ120af.Skip.to.Item"
"41","Foot - left",123,123,NA
".","Missing",5288,5411,NA
