"OPDUSFS.Code.or.Value","OPDUSFS.Value.Description","OPDUSFS.Count","OPDUSFS.Cumulative","OPDUSFS.Skip.to.Item"
"0","No",2419,2419,NA
"1","Yes",5,2424,NA
".","Missing",510,2934,NA
