"WBXP104.Code.or.Value","WBXP104.Value.Description","WBXP104.Count","WBXP104.Cumulative","WBXP104.Skip.to.Item"
"-164.9023 to 176.8238","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
