"SMD415A.Code.or.Value","SMD415A.Value.Description","SMD415A.Count","SMD415A.Cumulative","SMD415A.Skip.to.Item"
"1 to 2","Range of Values",1873,1873,NA
"3","3 or More",143,2016,NA
".","Missing",7949,9965,NA
