"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",9214,9214,NA
"2","Spanish",1021,10235,NA
".","Missing",113,10348,NA
