"DR2ILYCO.Code.or.Value","DR2ILYCO.Value.Description","DR2ILYCO.Count","DR2ILYCO.Cumulative","DR2ILYCO.Skip.to.Item"
"0 to 128575","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
