"PUD033.Code.or.Value","PUD033.Value.Description","PUD033.Count","PUD033.Cumulative","PUD033.Skip.to.Item"
"1","Yes",778,778,""
"2","No",1161,1939,"PUD040"
".","Missing",9100,11039,""
