"DS1TVD.Code.or.Value","DS1TVD.Value.Description","DS1TVD.Count","DS1TVD.Cumulative","DS1TVD.Skip.to.Item"
"0.6 to 2500","Range of Values",2168,2168,NA
".","Missing",8085,10253,NA
