"OSD110d.Code.or.Value","OSD110d.Value.Description","OSD110d.Count","OSD110d.Cumulative","OSD110d.Skip.to.Item"
"23 to 81","Range of Values",5,5,NA
"85","85 or older",0,5,NA
"777","Refused",0,5,NA
"999","Don't know",0,5,NA
".","Missing",4974,4979,NA
