"MCQ240E.Code.or.Value","MCQ240E.Value.Description","MCQ240E.Count","MCQ240E.Cumulative","MCQ240E.Skip.to.Item"
"14 to 79","Range of Values",63,63,NA
"85","85 years or older",0,63,NA
"77777","Refused",0,63,NA
"99999","Don't know",1,64,NA
".","Missing",9429,9493,NA
