"URD1DCLC.Code.or.Value","URD1DCLC.Value.Description","URD1DCLC.Count","URD1DCLC.Cumulative","URD1DCLC.Skip.to.Item"
"0","At or above the detection limit",2,2,NA
"1","Below lower detection limit",3167,3169,NA
".","Missing",148,3317,NA
