"URDMX5LC.Code.or.Value","URDMX5LC.Value.Description","URDMX5LC.Count","URDMX5LC.Cumulative","URDMX5LC.Skip.to.Item"
"0","At or above detection limit",2607,2607,NA
"1","Below lower detection limit",14,2621,NA
".","Missing",138,2759,NA
