"OSQ010c.Code.or.Value","OSQ010c.Value.Description","OSQ010c.Count","OSQ010c.Cumulative","OSQ010c.Skip.to.Item"
"1","Yes",119,119,"OSQ020c"
"2","No",5278,5397,"OSQ025"
"7","Refused",2,5399,"OSQ025"
"9","Don't know",11,5410,"OSQ025"
".","Missing",1,5411,""
