"URXBPM.Code.or.Value","URXBPM.Value.Description","URXBPM.Count","URXBPM.Cumulative","URXBPM.Skip.to.Item"
"0.85 to 545","Range of Values",2191,2191,NA
".","Missing",158,2349,NA
