"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",2615,2615,NA
"2","Partial",175,2790,NA
"3","Not done",244,3034,NA
".","Missing",0,3034,NA
