"SSHE4L.Code.or.Value","SSHE4L.Value.Description","SSHE4L.Count","SSHE4L.Cumulative","SSHE4L.Skip.to.Item"
"1740 to 656600","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
