"DXXLALI.Code.or.Value","DXXLALI.Value.Description","DXXLALI.Count","DXXLALI.Cumulative","DXXLALI.Skip.to.Item"
"614.5 to 8907.6","Range of Values",4977,4977,NA
".","Missing",803,5780,NA
