"DR2TVB12.Code.or.Value","DR2TVB12.Value.Description","DR2TVB12.Count","DR2TVB12.Cumulative","DR2TVB12.Skip.to.Item"
"0 to 279.19","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
