"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",277,277,NA
"2","No",8251,8528,NA
".","Missing",428,8956,NA
