"RFXC023.Code.or.Value","RFXC023.Value.Description","RFXC023.Count","RFXC023.Cumulative","RFXC023.Skip.to.Item"
"-7.001 to 3.68","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
