"LBXF01LA.Code.or.Value","LBXF01LA.Value.Description","LBXF01LA.Count","LBXF01LA.Cumulative","LBXF01LA.Skip.to.Item"
"0.3 to 11.5","Range of Values",1229,1229,NA
".","Missing",1318,2547,NA
