"URXOP4.Code.or.Value","URXOP4.Value.Description","URXOP4.Count","URXOP4.Cumulative","URXOP4.Skip.to.Item"
"0.396 to 78.7","Range of Values",2590,2590,NA
".","Missing",104,2694,NA
