"URXBUP.Code.or.Value","URXBUP.Value.Description","URXBUP.Count","URXBUP.Cumulative","URXBUP.Skip.to.Item"
"0.07 to 352.6","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
