"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.0085 to 1.7","Range of Values",1228,1228,NA
".","Missing",261,1489,NA
