"RFXC017.Code.or.Value","RFXC017.Value.Description","RFXC017.Count","RFXC017.Cumulative","RFXC017.Skip.to.Item"
"-6.057 to 3.798","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
